"date","tvl_usd","volume_usd"
"2023-01-06",155618,369751
"2023-01-07",161770,129350
"2023-01-08",179001,131112
"2023-01-09",230089,114423
"2023-01-10",223483,151791
"2023-01-11",246046,171877
"2023-01-12",299217,175772
"2023-01-13",302199,197331
"2023-01-14",346885,165987
"2023-01-15",363227,103136
"2023-01-16",342315,145674
"2023-01-17",351522,101864
"2023-01-18",332824,73095
"2023-01-19",325990,73113
"2023-01-20",492900,90699
"2023-01-21",440950,76912
"2023-01-22",437754,30414
"2023-01-23",444374,64112
"2023-01-24",426025,139853
"2023-01-25",454479,134756
"2023-01-26",487330,347644
"2023-01-27",1510007,255090
"2023-01-28",1439512,422755
"2023-01-29",1494966,216825
"2023-01-30",1429682,95677
"2023-01-31",1433999,133440
"2023-02-01",1484191,108004
"2023-02-02",1487553,114717
"2023-02-03",2929388,145139
"2023-02-04",2908523,136806
"2023-02-05",2861297,62683
"2023-02-06",2859358,141341
"2023-02-07",2913313,79192
"2023-02-08",2881299,44986
"2023-02-09",2789049,115021
"2023-02-10",4143353,110369
"2023-02-11",4147171,116677
"2023-02-12",4141807,38611
"2023-02-13",4086856,77051
"2023-02-14",4189423,82715
"2023-02-15",4430556,150447
"2023-02-16",4409702,66289
"2023-02-17",5755385,125625
"2023-02-18",5711814,72392
"2023-02-19",5727524,100609
"2023-02-20",5737441,80523
"2023-02-21",5670533,77809
"2023-02-22",5610342,85995
"2023-02-23",5612903,76029
"2023-02-24",5535357,83418
"2023-02-25",5489470,33457
"2023-02-26",5892035,53085
"2023-02-27",5858872,48699
"2023-02-28",5801212,40405
"2023-03-01",5887456,110047
"2023-03-02",6459519,79641
"2023-03-03",6310502,78375
"2023-03-04",6272999,36730
"2023-03-05",6306201,52102
"2023-03-06",6304323,26398
"2023-03-07",6252123,65425
"2023-03-08",6165943,180301
"2023-03-09",5958554,144660
"2023-03-10",5886258,258863
"2023-03-11",6217649,256517
"2023-03-12",6304289,115611
"2023-03-13",6529690,107335
"2023-03-14",6569808,124988
"2023-03-15",6406567,64599
"2023-03-16",6482713,37328
"2023-03-17",6808111,95167
"2023-03-18",6782243,46164
"2023-03-19",6835534,137468
"2023-03-20",6686627,85868
"2023-03-21",6795933,103740
"2023-03-22",6766050,78169
"2023-03-23",6897259,84121
"2023-03-24",6771498,40503
"2023-03-25",6730893,16065
"2023-03-26",6809994,31424
"2023-03-27",6682218,47815
"2023-03-28",6770837,45877
"2023-03-29",6864541,41659
"2023-03-30",6808789,61464
"2023-03-31",6876049,57545
"2023-04-01",6880928,14774
"2023-04-02",6772409,32953
"2023-04-03",6802049,50807
"2023-04-04",6921467,60885
"2023-04-05",6953031,78747
"2023-04-06",6852405,46381
"2023-04-07",6856543,56182
"2023-04-08",6863888,13917
"2023-04-09",6837919,83161
"2023-04-10",6937787,78134
"2023-04-11",7023343,75991
"2023-04-12",9673045,156044
"2023-04-13",9846184,121004
"2023-04-14",10012834,202583
"2023-04-15",9950335,76086
"2023-04-16",10037965,33186
"2023-04-17",9926805,77185
"2023-04-18",10040338,73607
"2023-04-19",9632882,131078
"2023-04-20",9671293,106621
"2023-04-21",9417116,92687
"2023-04-22",9440213,24386
"2023-04-23",9476867,16863
"2023-04-24",9399961,50357
"2023-04-25",9483048,90807
"2023-04-26",9504392,200732
"2023-04-27",9635931,136367
"2023-04-28",9620793,55497
"2023-04-29",9648948,21622
"2023-04-30",9621052,77533
"2023-05-01",9387795,108508
"2023-05-02",9538188,51130
"2023-05-03",9613608,71002
"2023-05-04",9545626,121362
"2023-05-05",9778975,119643
"2023-05-06",9560447,111840
"2023-05-07",9535697,102520
"2023-05-08",9374998,133169
"2023-05-09",9404778,39484
"2023-05-10",9442572,119413
"2023-05-11",9391642,103449
"2023-05-12",9367617,89671
"2023-05-13",9406125,44885
"2023-05-14",9462388,77414
"2023-05-15",9390117,185673
"2023-05-16",9394846,64051
"2023-05-17",9460126,49433
"2023-05-18",9375920,88112
"2023-05-19",9377023,58700
"2023-05-20",9364587,19341
"2023-05-21",9249887,81387
"2023-05-22",9397961,49690
"2023-05-23",9504540,54842
"2023-05-24",9617512,100491
"2023-05-25",9630804,50350
"2023-05-26",9705698,43590
"2023-05-27",9738490,40399
"2023-05-28",9896488,75428
"2023-05-29",9900682,75048
"2023-05-30",9895285,56796
"2023-05-31",9764151,97598
"2023-06-01",9721543,71740
"2023-06-02",9773856,59781
"2023-06-03",9799823,21288
"2023-06-04",9824998,28386
"2023-06-05",9605863,78642
"2023-06-06",9840823,129152
"2023-06-07",9685110,88633
"2023-06-08",9721802,117771
"2023-06-09",9781997,107250
"2023-06-10",9494443,226623
"2023-06-11",9526563,53308
"2023-06-12",9477791,88941
"2023-06-13",9591383,109236
"2023-06-14",9419633,109232
"2023-06-15",9403587,212294
"2023-06-16",9519246,129287
"2023-06-17",9578813,86763
"2023-06-18",9585467,47518
"2023-06-19",9604060,61531
"2023-06-20",9884020,122243
"2023-06-21",10285637,270475
"2023-06-22",10376707,194060
"2023-06-23",10501101,178396
"2023-06-24",10435530,109787
"2023-06-25",10506559,108289
"2023-06-26",10318805,156934
"2023-06-27",10542394,150400
"2023-06-28",10376533,213853
"2023-06-29",10423769,221329
"2023-06-30",10655273,375209
