date,metric_name,chain_name,sum_of_usdt
2023-07-27,sum of usdt,statemine,3499754.731831
2023-07-27,sum of usdt,statemint,17998751.017022
2023-07-26,sum of usdt,statemint,17998751.018022
2023-07-26,sum of usdt,statemine,3499754.731831
2023-07-25,sum of usdt,statemine,3499754.731831
2023-07-25,sum of usdt,statemint,17998751.018022
2023-07-24,sum of usdt,statemine,3499755.724645
2023-07-24,sum of usdt,statemint,17998751.018022
2023-07-23,sum of usdt,statemine,3499755.724645
2023-07-23,sum of usdt,statemint,17998751.018022
2023-07-22,sum of usdt,statemine,3499755.724645
2023-07-22,sum of usdt,statemint,17998751.018022
2023-07-21,sum of usdt,statemine,3499755.724645
2023-07-21,sum of usdt,statemint,17998751.018022
2023-07-20,sum of usdt,statemine,3499755.724645
2023-07-20,sum of usdt,statemint,17998751.018022
2023-07-19,sum of usdt,statemine,3499755.724645
2023-07-19,sum of usdt,statemint,17998751.018022
2023-07-18,sum of usdt,statemine,3499755.724645
2023-07-18,sum of usdt,statemint,17998751.028022
2023-07-17,sum of usdt,statemine,3499755.724645
2023-07-17,sum of usdt,statemint,17998751.028022
2023-07-16,sum of usdt,statemine,3499755.724645
2023-07-16,sum of usdt,statemint,17998752.028022
2023-07-15,sum of usdt,statemine,3499755.724645
2023-07-15,sum of usdt,statemint,17998752.028022
2023-07-14,sum of usdt,statemine,3499755.724645
2023-07-14,sum of usdt,statemint,17998752.028022
2023-07-13,sum of usdt,statemine,3499755.724645
2023-07-13,sum of usdt,statemint,17998752.028022
2023-07-12,sum of usdt,statemine,3499755.724645
2023-07-12,sum of usdt,statemint,17998752.028022
2023-07-11,sum of usdt,statemine,3499755.724645
2023-07-11,sum of usdt,statemint,17998752.538022
2023-07-10,sum of usdt,statemine,3499755.724645
2023-07-10,sum of usdt,statemint,17998752.538022
2023-07-09,sum of usdt,statemine,3499755.724645
2023-07-09,sum of usdt,statemint,17998752.538022
2023-07-08,sum of usdt,statemine,3499755.724645
2023-07-08,sum of usdt,statemint,17998752.538022
2023-07-07,sum of usdt,statemine,3499755.724645
2023-07-07,sum of usdt,statemint,17998752.538022
2023-07-06,sum of usdt,statemine,3499755.724645
2023-07-06,sum of usdt,statemint,17998752.538022
2023-07-05,sum of usdt,statemine,3499755.724645
2023-07-05,sum of usdt,statemint,17998752.538022
2023-07-04,sum of usdt,statemine,3499755.724645
2023-07-04,sum of usdt,statemint,17998752.538022
2023-07-03,sum of usdt,statemine,3499755.724645
2023-07-03,sum of usdt,statemint,17998752.538022
2023-07-02,sum of usdt,statemine,3499755.724645
2023-07-02,sum of usdt,statemint,17998752.538022
2023-07-01,sum of usdt,statemine,3499755.724645
2023-07-01,sum of usdt,statemint,17998752.538022
2023-06-30,sum of usdt,statemine,3499755.724645
2023-06-30,sum of usdt,statemint,17998752.538022
2023-06-29,sum of usdt,statemine,3499755.724645
2023-06-29,sum of usdt,statemint,17998752.538022
2023-06-28,sum of usdt,statemine,3499755.724645
2023-06-28,sum of usdt,statemint,17998752.538022
2023-06-27,sum of usdt,statemine,3499755.724645
2023-06-27,sum of usdt,statemint,17998753.038022
