"chain","date","token"
astar,2023-06-30,1368.0
astar,2023-06-29,250.0
astar,2023-06-28,650.0
astar,2023-06-27,9277.0
astar,2023-06-26,9090.0
astar,2023-06-25,3895.0
astar,2023-06-24,15048.0
astar,2023-06-23,29095.0
astar,2023-06-22,17756.0
astar,2023-06-21,5883.0
astar,2023-06-20,4945.0
astar,2023-06-19,4400.0
astar,2023-06-18,13548.85
astar,2023-06-17,9510.0
astar,2023-06-16,21186.0
astar,2023-06-15,4429.0
astar,2023-06-14,15190.0
astar,2023-06-13,9599.0
astar,2023-06-12,13656.0
astar,2023-06-11,300.0
astar,2023-06-10,7880.0
astar,2023-06-09,41606.0
astar,2023-06-08,27382.0
astar,2023-06-07,23528.0
astar,2023-06-06,5186.0
astar,2023-06-05,9169.0
astar,2023-06-04,9790.0
astar,2023-06-03,6171.0
astar,2023-06-02,810.0
astar,2023-06-01,11204.8
astar,2023-05-31,17878.0
astar,2023-05-30,450.0
astar,2023-05-29,42374.0
astar,2023-05-28,14594.0
astar,2023-05-27,2100.0
astar,2023-05-26,8644.0
astar,2023-05-25,12664.0
astar,2023-05-24,5294.0
astar,2023-05-23,11273.0
astar,2023-05-22,4379.0
astar,2023-05-21,8629.0
astar,2023-05-20,10350.0
astar,2023-05-19,17288.0
astar,2023-05-18,10790.0
astar,2023-05-17,7514.0
astar,2023-05-16,3508.5
astar,2023-05-15,6136.988
astar,2023-05-14,8236.9
astar,2023-05-13,9669.0
astar,2023-05-12,6452.0
astar,2023-05-11,24555.0
astar,2023-05-10,8239.0
astar,2023-05-09,3220.0
astar,2023-05-08,12018.0
astar,2023-05-07,9604.9
astar,2023-05-06,5885.0
astar,2023-05-05,11995.0
astar,2023-05-04,1096.0
astar,2023-05-03,26056.0
astar,2023-05-02,4400.0
astar,2023-05-01,2950.0
astar,2023-04-30,4250.0
astar,2023-04-29,13166.0
astar,2023-04-28,14430.0
astar,2023-04-27,2559.0
astar,2023-04-26,7669.0
astar,2023-04-25,7990.0
astar,2023-04-24,4085.99
astar,2023-04-23,6571.0
astar,2023-04-22,5577.1
astar,2023-04-21,13891.0
astar,2023-04-20,1628.0
astar,2023-04-19,480.0
astar,2023-04-18,30918.0
astar,2023-04-17,14414.0
astar,2023-04-16,5128.0
astar,2023-04-15,13545.0
astar,2023-04-14,13861.0
astar,2023-04-13,24329.0
astar,2023-04-12,8600.0
astar,2023-04-11,2240.0
astar,2023-04-10,8593.0
astar,2023-04-09,14347.0
astar,2023-04-08,3370.0
astar,2023-04-07,4298.0
astar,2023-04-06,10350.0
astar,2023-04-05,542.992
astar,2023-04-04,15895.0
astar,2023-04-03,7895.0
astar,2023-04-02,3279.0
astar,2023-04-01,7124.0
moonbeam,2023-06-30,483.0
moonbeam,2023-06-28,401.0
moonbeam,2023-06-27,0.75
moonbeam,2023-06-26,211.04
moonbeam,2023-06-25,1.245
moonbeam,2023-06-24,0.544
moonbeam,2023-06-23,895.69
