era,validator,commission
1038,1zugcag7cJVBtVRnFxv5Qftn7xKAnR6YJ9x4x3XLgGgmNnS,10.0
1038,148Ta5cWD3wekK3C6EbdDhYrdxC5e71VTKQCjmHUjE1DCG31,3.0
1038,13iTiojfEzSXLprKzvE7Sdmg8gtUD2S2Am2Xv61xrtmDHcvJ,100.0
1038,14das6GvVjXMFf6PysheHX9ek59fCgH3MhnvQ2aNLD9n8VDV,100.0
1038,13mhUnQ6qwvuuTYoKTtJkmssm3jDCGhTTSsHCXvvRhFooDiF,100.0
1038,14xKzzU1ZYDnzFj7FgdtDAYSMJNARjDc2gNw4XAFDgr4uXgp,3.0
1038,12woCF72ik4rYzm8gUagTkEBw4S1zE4rRnAk7SaiHbbV9tDy,100.0
1038,15kb76J3G8QvtoYKZdWyvPC12MzewsMYYneYT7E6SM2R3oTB,100.0
1038,158Qkc34MXQkrDJ2yibw2p9eCvK8Up2WvP1LKhvmcpEBd2LU,100.0
1038,15V6NjwmKkZihe644Tyr8GVLxjEzBAHktf6ZcJCTx7RPCoYS,8.0
1038,1653t723BHhC2krGCFKUUNDQb5sUafy5pZvKVwnwo1oMAMi7,10.0
1038,15Xx6ToS88iUagZ6BNJsEMKDbo4V7RcjdJk1FGfdxLtgqVs4,5.0
1038,12771k5UXewvK7FXd1RpPHxvFiCG4GQCrxRmXWN5tAAwDQoi,100.0
1038,16ARoGkkDSTmeu9tDvfBDksu4qURGz6s1HSvXzrwGnsjFtKg,100.0
1038,12EZemmyPLVnf7swvzfHA3ymn4eVRzgnTE6EpLvPpVSDfWd2,100.0
1038,1LMtHkfrADk7awSEFC45nyDKWxPu9cK796vtrf7Fu3NZQmB,8.0
1038,14Y4s6V1PWrwBLvxW47gcYgZCGTYekmmzvFsK1kiqNH2d84t,10.0
1038,12H9FfSYdQ4GrKc7tdxK8U6DitAZMqfnhB8gtHwd2rpCiZfN,1.0
1038,12pgR5dyEkUP6iTR9u7b74Nz7uCsCYKpkFfA5LFbQPjGwNHL,100.0
1038,14DXNLsWfpf1RZ3eZSemHaitFh7WM6ZwswJUVLxqQhRvc2ui,3.0
1038,13dCwieVYyuLVRdDcxomFeaYU1C73QpNDJreqHvKcggikWjK,100.0
1038,16FUnnZX7h11sxio9wu6DGGqD66z5vXxNLcXuSJFWFAjkaZ5,10.0
1038,168QooaS5Z1w3sYLDVwuTh7WZ9gLq934ErVQS5PUVEvVuMhm,100.0
1038,13EEEhiXeCFpFjVQxmjJsHjr9LFvnAurcnwQ1FDgB5LmJwQp,1.9
1038,1wcx1MBUQkmHL1ed4jMjo7U7eNNVvZjV7iVYedP7FEKqay6,100.0
1038,12eLumQrMcs7GnRdM3jQmhZG6hZMC61VYwi281CzPPkwAQch,3.0
1038,16mM7YxjyYqXu7uaJfmfCk9xcr8qqaYUyLazTBt3bueQJAFR,100.0
1038,1zugcawsx74AgoC4wz2dMEVFVDNo7rVuTRjZMnfNp9T49po,10.0
1038,14KDJPdZ7aNatRihFevpkz8JwGnsMSbtPQ3Nm5oiNMCnJK6s,100.0
1038,12doHFjPjPngNvZCWX4WeF4rkLFJ5LmmEyDvPGQ2C1aPppwy,3.0
1038,16aHTtVyQe61KJkcciSVtnEJ3ThNdErNsY223JTBvd7U5xfb,100.0
1038,134Bw4gHcAaHBYx6JVK91b1CeC9yWseVdZqyttpaN5zBHn43,2.5
1038,1zugcaebzKgKLebGSQvtxpmPGCZLFoEVu6AfqwD7W5ZKQZt,10.0
1038,14vucjYRyE9kwN2CXWwmzJ1W3x6yCG5Mwj4Cs5BS6zrJLQ8r,5.0
1038,14isBrPdSJDB6kGKoV8q5mFFYSg3rTD6w4QFypQtSWfmmqzD,100.0
1038,15ciPs3xZsJd86WFoijPs365f7viqGnubZ14aa9fGavyWJoM,1.0
1038,16Y3FmTiJ3ZYAUZrf5rZtxrQJzcHsDBdscpu2zgMD2xN6NY7,5.0
1038,138LYmCfDRrt3FxuT9hraYggVfyn6nVkwsn8VZpP3Pnt6xpa,100.0
1038,12ZNJzjPBZUh8VV5cuJFkbbwMttFNkH39EhoeYcgGHsJd4MG,5.0
1038,14hM4oLJCK6wtS7gNfwTDhthRjy5QJ1t3NAcoPjEepo9AH67,5.0
1038,162ivoEbxP4mzsWrQvapACAx7TF8mzB3B7oJq4FYCbEwC2Sj,100.0
1038,1ZhsUETRc5VQx4j6udFXUUTUHqrXVeos4Y4u5q1fPybgATT,100.0
1038,13BN4WksoyexwDWhGsMMUbU5okehD19GzdyqL4DMPR2KkQpP,8.0
1038,142zbv9g5osTGpuF1WigBMJBffPmT1Lo2Lsh1JgWiv965Du6,100.0
1038,1342iFZNrBfCP9VWxqt5p39LiHp2ynyq85Ww9K7R8w6BURps,2.5
1038,1nTfEEWASm1x6D16FPLLjPFC42Fb7Q5zLovrxQpPQe6j86s,100.0
1038,14g7XsFWsMpsPNkwQNhdHfsqKRehdRbpPLaGVTEhBe4Pt3Eu,8.0
1038,15DtxgAQ1XK5ywkx686AdFgLGkFDinoYLx2DyiZBuzUtZZnf,5.0
1038,15wT5c8vYVpRTZgvYXM7UaEBiUcyUyiZw47EvQqcbUmxrD3u,100.0
1038,16Jh21ThTh2tW98NuN2gM7Q3KaYiuJLbxCNbuBkFpwcDkRqx,5.0
1038,13sWHDukhwQQzwFmZLAhWkwhnzg3vxwsXPGd54YPtLTi1Ahc,100.0
1038,15FctDfqPsFubuXo6UpKMQdbdCC3XXdnHsRMZ3DN6ZKPLrSu,1.0
1038,1657q1KAuK2aebVc5pSNkuZ2gPMNY6y6vDMLQANdakXnwQ1W,5.0
1038,13ogHzWQksuwuw4dv6jph1GHGBxjSP8qzwRJzT69dhnhYEv2,5.0
1038,1zugcakrhr3ZR7q7B8WKuaZY5BjZAU43m79xEyhNQwLTFjb,10.0
1038,15kkg1mK1tCGgqqo3c1CghtKCQsBEAPPjYNNmmRT3r29FeRX,5.0
1038,153PzXdNjL3FJLA8EMBaP4CZQb5keH3jcf1RDDJJGrUKHNLL,100.0
1038,1zugcab6MjhEwA3DvbFBwgrUTpkjr6A7J8W6nUibY5MuQa3,10.0
1038,1497QNdycmxqMi3VJDxZDhaJh4s9tytr5RFWyrLcNse2xqPD,5.0
1038,1jqkeJhuoRudNTVL5dV1qZf8RQtyzcf6ZT4yyvUQbKFktr8,1.0
1038,14uS8A6gVx16xYt8UEtnKS1aGfotR6fE6hE8oexgnGQye1KN,100.0
1038,12gp3USksqBBrThp7G3QYJ2Nw3JR2azFxqYgsSch4NyPFgN5,3.0
1038,14GWWeZzMYkR7bwyeBvq7c44nJr4ncEodM4fAJX89ZSAHLw3,100.0
1038,1ufRSF5gx9Q8hrYoj7KwpzQzDNqLJdbKrFwC6okxa5gtBRd,1.0
1038,13uW7auWPX9WAtqwkBx7yagb78PLcv8FAcPZEVCovbXoNJK4,2.5
1038,14AkAFBzukRhAFh1wyko1ZoNWnUyq7bY1XbjeTeCHimCzPU1,2.5
1038,13zBFyK97dg4hWjXwEpigeVdu69sHa4fc8JYegpB369PAafq,1.85
1038,1535dDRXs8ga9CJeAMinCogZcEhpfrmm8cdJnhkVehbnedmb,3.0
1038,12eA9gosVR5Qa2hnibGZFNYSbxG3pafNeVGGi5eJQueautfX,100.0
1038,16DKyH4fggEXeGwCytqM19e9NFGkgR2neZPDJ5ta8BKpPbPK,2.5
1038,15QKfrWAKUudbmu4C4Boyy1eie97AD9sjnQ72LURrww5CWnY,100.0
1038,1zugcajKZ8XwjWvC5QZWcrpjfnjZZ9FfxRB9f5Hy6GdXBpZ,10.0
1038,14jr3cxYb5QvoXaBFB2azXbWiNo4bzNiFEAokFbztrwP9LAz,100.0
1038,14yx4vPAACZRhoDQm1dyvXD3QdRQyCRRCe5tj1zPomhhS29a,3.0
1038,12F6vXGkoZoFNeVUNhr7MymX79EaSga8YsbZh5hufNhv9VQZ,3.0
1038,1569aqCBma2m4TuUe1MxEs8EXBAZFCmwwcZMLde6HNbimuW8,2.0
1038,15a9ScnYeVfQGL9HQtTn3nkUY1DTB8LzEX391yZvFRzJZ9V7,1.0
1038,16Divajwsc8nq8NLQUfVyDjbG18xp6GrAS4GSDVBTwm6eY27,100.0
1038,1zugcaaABVRXtyepKmwNR4g5iH2NtTNVBz1McZ81p91uAm8,10.0
1038,15thjfpZX1xVcsnfya1oXmbXzau2on5abAc4XXYP62SNwwQQ,100.0
1038,13YDN239LTFZVFDuuyz8WTKHxMSCvEqiPQe1kyjABcRgxhNz,100.0
1038,12MgK2Sc8Rrh6DXS2gDrt7fWJ24eGeVb23NALbZLMw1grnkL,2.0
1038,14oRE62MB1SWR6h5RTx3GY5HK2oZipi1Gp3zdiLwVYLfEyRZ,100.0
1038,14Y626iStBUWcNtnmH97163BBJJ2f7jc1piGMZwEQfK3t8zw,2.5
1038,16aThbzrsb2ohiLXJLqN8jLST6JgUPRi3BqyHxUW4yVHBQ44,8.0
1038,1eLUhRLQiikdt4zUrYdY4LwdwYDsStmjrqzGzC46XmuTatG,100.0
1038,12Rnwa6JwTYcwv8pVcr5u9CfjTTgbm1wJimKjNpHL7uLV5yF,5.0
1038,13G9QgvXNBhs8CmekiEUFG47E9PPXX2obM7ZbThe6uoD7A7F,5.0
1038,126brtAJ2VMLcDNZHNQ6cfaUSdgZikP7EbddVxoQzj8hEovX,3.0
1038,16Fwe1wFveAWmUJ8WucZmu87iyp5464m9hNqvUP8oE35nwc8,100.0
1038,15x643ScnbVQM3zGcyRw3qVtaCoddmAfDv5LZVfU8fNxkVaR,1e-07
1038,16euDe2owvJq7LkwSujGxAFezCWopCKPENxwc2EKdzYTRBae,5.0
1038,1jZqirgn6ECrqwYNGUT1No9QSBWTatCkCe2nRzxFw2ufbyN,100.0
1038,13s9RrQSFbnp2TneY7nkdLmGc3ijBw12YQct8pc8km36Z9hg,3.0
1038,15apjb1k8NBZNsUr93tcffaGU6Z6erUm8TjSawpTWc8WAaKP,100.0
1038,14cxMDpBNLsNEXWyCzked3zghzaYWXwoqGT4h12GqQXdVhmn,1.0
1038,138jGBBQBwJGTmcxK7e8PT4KEAGdpXybMD3GepSJ3T76wuGc,100.0
1038,1Wo6qcrh7wxc1kQY5nfixFuCAFuzkgiwau64SmrPXBE7vVf,2.5
1038,12WmM98h4Ar6y7ZyyMKPXwSyuP5GSZvXTbEkDXm1tirbZFW4,8.0
1038,15odauviAEhkhwSBNdLpMGAHR426m4h3e47Y6Z8viK9sKZpF,100.0
1038,15PJA4PKoCZ2eeuaoFpoAQikHX6nZB7oW4qFTRhKutzekn1L,100.0
1038,13HtFCrxyz55KgkPWcnhHPwE8f8GmZrfXR3uC6jNrihGzmqz,100.0
1038,13KuUijCvWN3pwVcwjzVa2Nov8eZTKy7fJ69sMD7mZyQvjAF,100.0
1038,14wC1KVsGx8Axcu5GqVLkaaoSefBFXkXj5SqyFh92mboo4CA,100.0
1038,14N5GT7YTaDBSsLpfxxtCxNdYfgDofGj5wQSfqC1URKHdT8C,10.0
1038,129pBPe7kDfuJjdwNHYaT1a8K65fVR5RWjog8xmVYmoQp4zz,5.0
1038,13NL7w9SitBziaa9nBhWmuzmEaRTuX1RvWYs21zKyrvBokgT,100.0
1038,13bEAraR65YASSynHhGNrsEyPgWfcLLYdgYV6GmeB6bbUeeg,35.0
1038,15uQdwDxDMKDrjjkuUqntrUTUHBFVPi3ZEA2UA7qbycEndzs,100.0
1038,15MBzbxZeXFZxiTsMyvzKK7Hn4cqwHzC1QxT8uHYiYBWun3M,100.0
1038,13giQQe5CS4AAjkz1roun8NYUmZAQ2KYp32qTnJHLTcw4VxW,2.5
1038,1ZjP48pnmVw7oYNdoFQQAgH31Wt2rKa2wK6hcXLRShXwZim,100.0
